combination,epoch,training_time,testing_time,system_time,explained_variance_score,mean_absolute_error,mean_squared_error,median_absolute_error,r2_score
"[6, 32, [16, 4], 'tanh']",1000,864,0,864,0.201900844,0.293938846,0.219341668,0.195314348,0.191944051
"[6, 32, [16, 4], 'sigmoid']",1000,866,0,866,0.147607188,0.326513751,0.243695629,0.242684841,0.102223921
"[6, 32, [16, 8], 'tanh']",1000,-85515,0,-85515,0.138741281,0.315290862,0.259018364,0.207229376,0.045774879
"[6, 32, [16, 8], 'sigmoid']",1000,867,0,867,0.186764997,0.289759489,0.223480022,0.193419695,0.176698334
"[6, 32, [32, 4], 'tanh']",1000,899,0,899,-0.378204051,0.326067949,0.377563362,0.208948493,-0.390945564
"[6, 32, [32, 4], 'sigmoid']",1000,891,0,891,0.128151181,0.307894196,0.239489828,0.216697395,0.117718117
"[6, 32, [32, 8], 'tanh']",1000,893,0,893,-0.260166805,0.338699017,0.359690595,0.212722838,-0.325102188
"[6, 32, [32, 8], 'sigmoid']",1000,923,0,923,0.134299555,0.341185688,0.254392013,0.261243343,0.062818384
"[6, 32, [32, 16], 'tanh']",1000,923,0,923,-0.190841919,0.318823173,0.33677457,0.204164505,-0.240679424
"[6, 32, [32, 16], 'sigmoid']",1000,923,0,923,0.123584178,0.299853849,0.237918864,0.201916695,0.123505556
